	DS40	HA41	HA42	HA43	HA44	HA45	HA46	HA47	HA50	HG56	DS31	HG57	LG74	LG75	LG76	LG77	LN71	LN72	LN73	MB10	MB1	DS32	MB3	MB4	MB5	MB6	MB7	MB8	MFB16	MFB17	MFB18	MFB19	DS33	MFB20	MFB26	MFB27	MFB28	MFB29	MFB30	MFR11	MFR12	MFR13	MFR14	DS34	MFR15	MFR21	MFR22	MFR23	MFR24	MFR25	NC68	DS35	DS36	DS37	DS38	DS39
ASV_1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	52461	123971	120495	115472	0	106561	7704	26467	16898	36980	27570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ASV_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49439	39457	0	126378	95204	96321	58813	52933	79420	0	0	3	0	0	30	0	0	0	0	0	5	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ASV_3	0	48020	69354	28941	110008	63387	82320	119715	59610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	0	56621	96408	73899	69625	84797	39066	37510	102121	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	82577	0	0	21	8	44	7	0	0	0	7349	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143486	81195	122920	69533
ASV_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	462	0	82	223	0	0	0	0	0	0	0	40371	31735	31092	56700	0	27573	19841	41139	45738	33825	46626	0	0	0	0	0	0
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	31024	26459	23038	41596	0	19885	23091	38885	45618	26370	42719	0	0	0	0	0	0
ASV_8	15983	0	0	0	0	0	0	0	0	0	27101	0	0	0	0	0	0	0	0	0	0	39920	0	0	0	0	0	0	0	0	0	0	36499	0	0	0	0	0	0	0	0	0	0	55769	0	0	0	0	0	0	0	44179	18154	24193	20707	19279
ASV_9	0	0	0	0	0	0	0	0	0	360	130	217	78	0	47	0	0	44	0	6392	9211	44	0	142	175	6639	6051	9564	24955	4638	2876	2766	0	1673	17891	49237	33449	27805	29480	388	82	102	86	25	337	2618	3501	1541	6181	1985	0	27	0	0	0	7
ASV_10	0	496	2523	1802	974	2815	1200	487	1717	92953	0	109020	12	0	37	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14246	18700	23258	17444	0	44156	7590	7562	8619	6083	6290	5810	7183	4687	6783	0	7753	3747	3670	3833	9225	6128	0	0	0	0	0	0
ASV_12	1343	0	0	8	28	16	0	0	0	7122	2844	15419	0	0	0	0	0	0	0	0	0	4144	0	0	0	0	0	0	0	4144	48	27	23794	48	1238	5304	11600	2407	4650	667	119	44	523	13195	8700	58	180	107	365	73	0	35931	827	1054	9361	20000
ASV_13	0	0	0	0	0	0	0	0	0	0	0	0	26359	40421	34389	63672	0	0	1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	0	0	0	0	0	0	0	0	6	0	0	0	0	103	23	56	42114	49882	68706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25261	26526	0	572	10282	12911	23687	43405	13509	0	8	52	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	108	0	0	66	0	52	0	0	0	0	0	16053	8690	10629	11743	0	13299	31013	11568	8490	19408	22721	0	0	0	0	0	0
ASV_17	3993	0	0	16	0	3	0	0	0	0	16211	0	0	0	0	0	0	0	0	0	0	17132	0	0	0	0	0	0	0	0	0	0	18599	0	0	0	0	0	0	0	0	0	0	28454	0	0	0	0	0	0	0	31489	6904	6388	5054	5930
ASV_18	0	0	0	0	0	0	0	0	0	0	0	0	20938	29194	24598	46772	0	0	875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	26	0	0	0	0	0	0	0	0	1153	0	134	33867	12087	17591	6490	950	13836	1337	7489	6771	0	351	390	427	2349	3804	1563	924	58	606	833	42	84	586	1040	5971	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
ASV_20	1870	9	0	26	0	28	3	16	0	0	12027	0	0	0	0	0	0	0	0	0	0	33056	0	0	0	0	0	0	0	0	0	0	20759	0	0	0	0	0	0	0	0	0	0	18771	0	0	0	0	0	0	0	7017	871	2955	4135	5375
