"","superkingdom","phylum","class","order","family","genus","species"
"X.287844","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus concavus"
"X.287844.1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus concavus"
"X..84112","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella lenta"
"X1458337","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter","Stenotrophobacter terrae"
"X1543721","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,"Sedimenticola","Sedimenticola thiotaurini"
"X.433286","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerocolumna","Anaerocolumna cellulosilytica"
"X....437","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidomonas","Acidomonas methanolica"
"X1785988","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Bombella","Bombella apis"
"X1461577","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Weeksella","Weeksella massiliensis"
"X1524974","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Testudinibacter","Testudinibacter aquarius"
"X.287844.2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus concavus"
"X1543721.1","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,"Sedimenticola","Sedimenticola thiotaurini"
"X.433924","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pseudacidovorax","Pseudacidovorax intermedius"
"X.158877","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Yokenella","Yokenella regensburgei"
"X2173034","Bacteria","Firmicutes","Clostridia","Clostridiales","Vallitaleaceae","Petrocella","Petrocella atlantisensis"
"X.252130","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Uruburuella","Uruburuella suis"
"X1168082","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Lacibacterium","Lacibacterium aquatile"
"X.216947","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma velocicrescens"
"X.184064","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermodesulfobiaceae","Thermodesulfobium","Thermodesulfobium narugense"
"X1121430","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfofundulus","Desulfofundulus thermocisternus"
"X.335543","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter","Syntrophobacter fumaroxidans"
"X1502841","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","Acetobacter suratthaniensis"
"X...1599","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus sakei"
"X1078475","Bacteria","Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Orbus","Orbus sasakiae"
"X..33039","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques"
"X....550","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae"
"X..53332","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus","Desulfobulbus elongatus"
"X.209650","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidicaldus","Acidicaldus organivorans"
"X....571","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella oxytoca"
"X1917880","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Nissabacter","Nissabacter archeti"
"X1697053","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Oblitimonas","Oblitimonas alkaliphila"
"X1697053.1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Oblitimonas","Oblitimonas alkaliphila"
"X1745713","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Bariatricus","Bariatricus massiliensis"
"X1070431","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Polymorphobacter","Polymorphobacter multimanifer"
"X.216947.1","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma velocicrescens"
"X..39488","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii"
"X..39488.1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii"
"X..83655","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Leclercia","Leclercia adecarboxylata"
"X1282863","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Uruburuella","Uruburuella testudinis"
"X1629550","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Paraclostridium","Paraclostridium benzoelyticum"
"X.682400","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,"Natranaerovirga","Natranaerovirga pectinivora"
"X.287844.3","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus concavus"
"X.432296","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Blastochloris","Blastochloris gulmargensis"
"X.472705","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea conspicua"
"X1798182","Bacteria","Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Gilliamella","Gilliamella bombicola"
"X1461577.1","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Weeksella","Weeksella massiliensis"
"X.411470","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] gnavus"
"X.796890","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Gibbsiella","Gibbsiella dentisursi"
"X1461577.2","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Weeksella","Weeksella massiliensis"
