sample-id,species,Depth
DS31,Dactylurina schmidti,128306
DS32,Dactylurina schmidti,159425
DS33,Dactylurina schmidti,147119
DS34,Dactylurina schmidti,155467
DS35,Dactylurina schmidti,143546
DS36,Dactylurina schmidti,175311
DS37,Dactylurina schmidti,159043
DS38,Dactylurina schmidti,183707
DS39,Dactylurina schmidti,141993
DS40,Dactylurina schmidti,112756
HA41,Hypotrigona araujo,151503
HA42,Hypotrigona araujo,158904
HA43,Hypotrigona araujo,147518
HA44,Hypotrigona araujo,171416
HA45,Hypotrigona araujo,159773
HA46,Hypotrigona araujo,157506
HA47,Hypotrigona araujo,167765
HA50,Hypotrigona araujo,160398
HG56,Hypotrigona gribodoi,173773
HG57,Hypotrigona gribodoi,182549
LG74,Liotrigona,140372
LG75,Liotrigona,150683
LG76,Liotrigona,124200
LG77,Liotrigona,144035
LN71,Meliponula lendliana,157566
LN72,Meliponula lendliana,141021
LN73,Meliponula lendliana,183626
MB1,Meliponula bocandei,162595
MB10,Meliponula bocandei,144760
MB3,Meliponula bocandei,145020
MB4,Meliponula bocandei,151872
MB5,Meliponula bocandei,148259
MB6,Meliponula bocandei,153194
MB7,Meliponula bocandei,172912
MB8,Meliponula bocandei,168480
MFB16,Meliponula ferruginea (black),161798
MFB17,Meliponula ferruginea (black),176929
MFB18,Meliponula ferruginea (black),180531
MFB19,Meliponula ferruginea (black),159136
MFB20,Meliponula ferruginea (black),178537
MFB26,Meliponula ferruginea (black),128713
MFB27,Meliponula ferruginea (black),154910
MFB28,Meliponula ferruginea (black),114195
MFB29,Meliponula ferruginea (black),151772
MFB30,Meliponula ferruginea (black),151653
MFR11,Meliponula ferruginea (red),179208
MFR12,Meliponula ferruginea (red),159559
MFR13,Meliponula ferruginea (red),135289
MFR14,Meliponula ferruginea (red),185654
MFR15,Meliponula ferruginea (red),175033
MFR21,Meliponula ferruginea (red),153911
MFR22,Meliponula ferruginea (red),151353
MFR23,Meliponula ferruginea (red),154810
MFR24,Meliponula ferruginea (red),193251
MFR25,Meliponula ferruginea (red),194850
NC68,Negative control,2
